,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
30,30,MIL,Kevin Porter Jr.,USC,4,196,5928,3008,842,987,.431,.357,.725,30.2,15.3,4.3,5.0,4.0,.032,-1.6,0.7
31,31,BRK,Nic Claxton,Georgia,5,241,6142,2490,1882,378,.661,.158,.544,25.5,10.3,7.8,1.6,21.8,.170,1.6,5.6
32,32,PHO,KZ Okpala,Stanford,4,98,965,222,148,47,.409,.286,.667,9.8,2.3,1.5,0.5,1.0,.050,-4.7,-0.7
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,5,203,2179,814,661,143,.544,.122,.650,10.7,4.0,3.3,0.7,3.6,.078,-3.1,-0.6
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,5,206,4505,1235,737,475,.442,.317,.651,21.9,6.0,3.6,2.3,5.9,.063,-1.7,0.3
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,5,321,6263,2796,1739,317,.711,.000,.668,19.5,8.7,5.4,1.0,25.2,.193,1.5,5.6
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3086,1552,509,214,.494,.326,.758,19.5,9.8,3.2,1.4,5.0,.078,-2.2,-0.1
42,42,PHI,Admiral Schofield,Tennessee,4,131,1372,426,215,78,.417,.326,.782,10.5,3.3,1.6,0.6,1.2,.043,-4.6,-0.9
43,43,MIN,Jaylen Nowell,Washington,5,197,3351,1748,425,362,.446,.317,.798,17.0,8.9,2.2,1.8,4.9,.070,-1.9,0.1
44,44,MIA,Bol Bol,Oregon,5,166,2302,999,605,104,.550,.327,.745,13.9,6.0,3.6,0.6,4.1,.086,-0.6,0.8
45,45,DET,Isaiah Roby,Nebraska,4,151,2858,1159,667,216,.485,.351,.675,18.9,7.7,4.4,1.4,4.0,.068,-2.3,-0.2
46,46,ORL,Talen Horton-Tucker,Iowa State,5,247,5218,2430,700,769,.423,.293,.778,21.1,9.8,2.8,3.1,4.9,.045,-1.9,0.1
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6
48,48,LAC,Terance Mann,Florida State,5,345,7687,2814,1252,669,.503,.373,.793,22.3,8.2,3.6,1.9,18.5,.115,-0.7,2.5
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,3,41,273,110,53,29,.457,.380,.833,6.7,2.7,1.3,0.7,0.6,.108,0.0,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,5,248,4543,1699,829,291,.449,.322,.777,18.3,6.9,3.3,1.2,5.3,.056,-3.3,-1.5
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1
55,55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,.361,.303,.750,8.1,3.1,1.0,0.9,0.1,.006,-4.9,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
